track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633.00,41,100,117,C#,Major,61,45,69,2,0,9,3
See You Again,Tyler,3,2017,7,21,13387,64,1047101291.00,77,58,79,F#,Major,56,58,56,37,0,11,10
Revenge,XXXTENTACION,1,2017,8,25,3600,11,1022258230.00,7,0,140,B,Minor,75,18,25,78,0,11,26
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682.00,71,53,172,F#,Major,60,77,78,45,0,12,6
Infinity,Jaymes Young,1,2017,6,23,4375,0,888046992.00,24,0,122,B,Minor,67,50,67,15,0,30,4
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534.00,61,96,94,F,Major,37,17,47,2,46,11,3
Bored,Billie Eilish,1,2017,3,30,4204,0,777765388.00,39,45,120,G,Major,60,11,33,90,0,8,5
Snowman,Sia,1,2017,1,1,5140,0,690104769.00,85,110,105,C#,Major,72,33,51,48,0,9,3
Dont Bl,Taylor Swift,1,2017,11,8,4875,23,685032533.00,19,45,136,A,Minor,62,19,53,11,0,6,4
Swim,Chase Atlantic,1,2017,10,4,2742,0,498960285.00,5,1,120,G#,Major,67,8,54,27,0,8,4
Hold Me Closer,Elton John,2,2017,11,10,4967,0,284216603.00,165,10,126,,Major,67,49,77,11,0,19,11
Good Looking,Suki Waterhouse,1,2017,10,20,2264,0,184706613.00,11,6,150,E,Major,37,27,56,8,0,13,3
Merry Christmas,Ed Sheeran,2,2017,11,10,2209,0,135723538.00,72,90,114,,Major,59,60,94,24,0,10,4
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814.00,440,125,110,C#,Major,50,45,41,75,0,11,3
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2,2018,10,9,24094,78,2808096550.00,372,117,90,D,Major,76,91,50,54,0,7,5
Shallow,Lady Gaga,2,2018,9,27,16636,12,2159346687.00,368,155,96,G,Major,57,30,40,38,0,26,3
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467.00,151,107,134,C#,Major,45,17,60,21,0,33,4
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173.00,0,0,150,C#,Minor,65,51,55,73,0,14,3
Hope,XXXTENTACION,1,2018,3,16,3659,0,1200808494.00,11,10,146,A,Minor,59,23,46,66,0,15,6
SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211,0,1122364376.00,38,79,89,D#,Major,52,28,48,54,1,19,3
we fell in love in october,girl in red,1,2018,11,21,6858,0,723043854.00,31,21,130,G,Major,57,24,37,11,18,16,3
I Was Never There,The Weeknd,2,2018,3,29,4188,15,705469769.00,30,70,114,A#,Major,32,17,74,14,0,17,3
Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206.00,33,102,94,D,Major,57,36,58,5,0,15,3
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.00,672,199,171,C#,Major,50,38,80,0,0,9,7
Dance Monkey,Tones and I,1,2019,5,10,24529,0,2864791672.00,533,167,98,F#,Minor,82,54,59,69,0,18,10
Seo,Shawn Mendes,2,2019,6,19,15010,2,2484812918.00,453,50,117,A,Minor,76,77,52,4,0,8,3
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122.00,437,115,95,,Major,55,56,82,12,0,34,5
Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,2303033973.00,532,77,124,B,Minor,79,68,79,1,0,10,8
Circles,Post Malone,1,2019,8,30,19664,16,2132335812.00,391,73,120,,Major,70,59,75,24,0,9,4
Memories,Maroon 5,1,2019,9,20,9974,2,1759567999.00,272,67,91,B,Major,77,60,32,84,0,8,5
Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,1608045237.00,205,130,112,D#,Major,45,19,60,63,0,9,6
Adore You,Harry Styles,1,2019,12,6,13454,1,1439191367.00,246,71,99,G#,Major,68,57,77,2,0,10,5
